review,date
hocam senin siparişin bayağı eskiymis sana mart dedilerse benim siparişim hazirana gelirse iyidir bana söylenen şubat falan hikaye zaman,12.08.2023
garantiyi bozuyor eylülde civarında fiyat almıştım hatırlıyorum bulamadım tekrar,12.08.2023
yine zam gelmiş galiba,12.08.2023
geçen hafta cuma günü geldi zam yüzde,12.08.2023
d değilde i kullanıcısıyım araba gayet güzel herşeyiyle tek bir sıkıntısı var trafik esnasında gaza bastığınızda km hızla yaklaşırken ayağınızı gazdan çektiğinizde gemi ileri geri sarsıntı yapıyor sayısızca servise götürmeme rağmen doğru düzgün bir çözüm bulamıyorlar alıcılar bunu göz önünde bulundursunlar,12.08.2023
yaklaşık iki aydır kullanıyorum eski aracım manuel vitesti öncelikle araç kullanım olarak gerçekten keyifli kmh hızı geçmedim şimdiye kadar eski aracıma göre bir tık fazla yakıyor diyebilirim sadece,12.08.2023
model olarak ağustosta üretime başlarlar avrupada bizde eskiden olduğu model yılı ağustosta değişiyor,12.08.2023
lci değil yeni kasa olarak gelmesi bekleniyor anki istihbarat butabii yeni tip ekran vs gelecektir asıl gelişmenin elektrikhybrid konularında olması muhtemel yeni kasa full elektrik model gelecektirmesela serisi değişim bekleniyor mevcut kasada full elektrik olmayacağı söyleniyor ondan önce serisi elektrikli olur göreceğiz,12.08.2023
araç stop ettiğinde kapı kilitlerinin açılması var hocam bahsettiğiniz aracı stop ettiğinizde kapıların kilitli kalması sürücü kapısını açtığınızda diğer kapıların kilitlerinin otomatik açılması durumunu duymadım maalesef,12.08.2023
evet hocam konuda tahminler mevcut tamamen elektrikliye geçmek kasa değişimi gerekir sanırım bataryaların konumu ağırlık dağıtımı vs bir sürü mühendislik hesaplaması vardır,12.08.2023
cevaplarınız teşekkürler bir miktar para toplayabilirsem sıraya girerim herhalde mayısa kadar hayırlısı,05.08.2023
ilk bakım süre km olmalı önce ay km hangisi önce getirin demişlerdi şimdi ay km diyorlar aracın uyarı vermesini bekleyin diyorlar aracım aylık km uyarı vermedi yapmalıyım karar veremedimbilgi veren olursa sevinirim,05.08.2023
süre olarak kilometre olarak hangisi yakınsa servis uyarısı sistemde belirecektir öncelikle sarı uyarı olarak kaldığını bakımı yaptırmazsanız kırmızı uyarı kısa zamanda servise gitmeniz konusunda araç sizi ikaz edecek ay olması lazım bakım döngüsü sizin araç kullanım tarzınıza göre kısalabilirazalabilir,05.08.2023
hocam sen sadece araca uy zaten km dolduramazsan yıldan kaynaklı araç yine uyarı verecek,05.08.2023
bende araca uyma konusunda fikirim iletişim kurduğum farklı yetkililer farklı bilgi verince tereddüt ettim,05.08.2023
tşk ederim,05.08.2023
kendi adıma cevap vereyim hocamen sirkülasyonun olduğu bayiden sipariş vermek online üzerinden sipariş verilecekse bayi seçimini istinye olarak seçmekte fayda var araç iptalleri oluyor i̇ptal olan siparişler bir havuzda toplanmıyormuş öğrendiğim kadarıylam sport paketin farkı kozmetik hocam aracın detaylarını öne çıkardığı ben tabsiye ederim m sport paket seçseniz bile m koltuklar yine opsiyonel oluyor onu dahil etmeyebilirsiniz anki serilerinde koltuk ısıtma opsiyonu olmadığı kışın alcantra koltuğa oturduğunuzda buz soğuk etkisini yapmıyor yazın olur bilemem amases sistemi olarak hifi yeterli imkan dahilinde harmankardon u e kıyasla görsel açıdan başarılı buluyorum serisini iç hacmi bana küçük basık gelmişti bir tecrübem olmadığı hatalı bilgi vermek istemem,05.08.2023
teşekkürler hocam i̇zlediğim videolardan anladığım kadarıyla serisinin malzeme kalitesi iyi bunun yanında hoşuma gidiyor ancak bulması zor sanırım bmwde kötü sıramı bekler alabilirim düşündüm,05.08.2023
ses sistemi konusunda tamamen zevklere gore degisir bmw ses sistemleri genel olarak kotu degil çip krizinden dolayi opsiyon iptali yapildi hifi teslim edildi hic memnun degilim gerekli parcalari satin aldim ses sistemini degistirecegim genel olarak ses sistemini aracla birlikte alinca ucuza geliyor sonradan degistirmek masrafli,05.08.2023
hocam araçlar standart süspansiyon geliyor zaten muhtemelen arayüzde seçmeseniz bir değişmeyecektir evet ikinci seçenekte ön yolcu koltuğu elektrikli olmalı ben m sport koltuk aldım ön iki koltuk elektrikli şoför koltuğu hafızalı fiyat düşsün diyorsanız olmasa olur hafızalı sürücü koltuğu önemli olan hifi bana zayıf geldi özellikle baslar başarısız sesler genel olarak temiz geliyor harman kullanmadım eski aracım tok sesler veriyordu,05.08.2023
kapora ikisinin farkı yok havaleeft açıklamaya yazacağınızı sizinle irtibat kuran st söyleyecektir sonra dekontu stnin mailine göndermeniz yeterli olur kredi kartı basit demişti benim st kadar limitim yoktu önemli olan ön ödemenin tek işlemde yapılması yarısı karttan yarısı havale birden fazla havale işlemi olmuyor bildiğim kadarıyla,05.08.2023
siparişimi verdim gitti bekleyiş başlasın bakalım storm bay renk hifi ses sistemi sport line seçtim,05.08.2023
hadi hayırlısı olsun storm bay renk hoş görünüyor haberlerinizi bekliyoruz,05.08.2023
sabah bende siparişimi verdim m sport verirken tahmini teslimat mart yazıyordu şimdi kontrol ettiğimde haziran olmuş,05.08.2023
hayırlısı olsun hocam i̇nşallah erken gelir araçlar üretim slotları dolmaya başlamış demek,05.08.2023
hocam ödemeyi salı günü kapatmıştım civarı tescil falan dahil ufak bir indirim aldım beklerken yaptığım zararın kadar ancak aracın faturası tescil masraflarını göstermiyor tescil masraflarından yılın mtvsini karşıladılar ocakta ben ödeyeceğim trafik sigortası dahil yapıyorlar zaten tescil edebilmek sigorta şart önceki hasarsızlıklarımı falan dikkate aldıklarını düşünmüyorum zaten plaka çıkmadan yapılıyormuş trafik sigortası,29.07.2023
hayırlı uğurlu olsun şimdiden beklediniz umarım güzel günlerde kullanırsınız,29.07.2023
teşekkürler darısı bekleyen kullanıcı arkadaşlara,29.07.2023
herkese merhaba model m sport aracım var araç an kmde arka balatalardan ses geliyor bana bitmiş geldi servise gidip sorduğumda uyarı verecek arka balatalar zaman gelin dedi ben arka balatalar uyarı verilip verilmediğini bilmiyorum araçlarda sadece ön biliyordum var sizin bildiğiniz aldığınız uyarı arka balata değişimiyle ilgili ses geliyor sonra diyor servis,29.07.2023
merhaba hocam aracınızın kilometresi epey düşük henüz ön arka balatanın uyarı vermemiş olması normal balata disk arasına toprak parçası girmiş olabilir diskleriniz paslanmışsa ses çıkarabilir düşük hızlarda bir kaç fren yapıp bırakarak tozun diskle balata arasından çıkmasını deneyebilirsiniz ufak taş parçası girse diskin üzerinde çizgi oluşturur fark edebilirsiniz tozküçük taş parçası olması ihtimali yüksek görünüyor fren balata ömrü ön arkalar birer adet fiş takip ediliyor zamanı gelince sistem bildirim vermeye başlar eskiden araç durumunda sürekli takip edilebiliyordu bakım kmnin tutarsız düşmesi sebebiyle gizlediler ekrandan şimdi ihtiyaç durumunda ekranda uyarı veriyor,29.07.2023
hocam servisteki arkadaştan açıklayıcı oldu inan teşekkür ederim beni meraka düşüren aracı ilk aldığımda kmdeydi servise götürdüm km sonra balataları değiştirin dedi bakımını yaptırdım km sonra balatalar ömrünü tamamlıyor değiştirin dedi bugün götürdüm gider diyor anlam veremedim dediğiniz sistem üzerinden takip etmek mantıklıayrıca ani frenle sesin kesilmesini deneyeceğim teşekkürler tekrardan,29.07.2023
rica ederim hocam aslına bakarsanız servis erken değiştirmeyi kendi kazancı açısından geç değişim sebebiyle diskin aşınmaması söylüyor olabilir balata ömrü tamamen kullanım tarzıyla alakalı bir hocam eski aracım fren balatalarını değiştirdim ekranda falan yazıyordu değiştiren usta bir bakım gidermiş dedi tabi diskin zarar görmesindense biraz erken değiştirmek faydalı bence aracı sattım ekranda önlere arkalara yazıyordu tabi değerler tahmini henüz fişe ulaşmadığından otomatik vites araçlarda biraz erken bitmesi normaldir,29.07.2023
forumculara iyi günler pazar günü aracı teslim aldım i̇mzaları attıktan sonra tabi şansıma yağmur yağdı araca henüz hakim olmadığım rodaj süresi içinde olduğum sağ şeritlerden ağır aheste ilerliyorum vites geçişleri güzel ben beğendim henüz steptronic kullanmadım gaza yüklenmedim benim yeterli hızlanması vs ptesi günü kışlık jant lastikleri taktırdım sanırım kışlıklardan dolayı ilk kalkış düşük hızlarda seyirde araç eski arabama göre bir tık fazla yakıyor abartılacak bir durum değil geri vitese takınca yolcu aynası gerçekten aşağıya iniyor ben ayna tuşunu yolcu tarafına çekip kapatıyorum aynanın inmesini bir müddet sonra kodlama aynanın aşağı inişini biraz azaltırım carplay gerçekten güzel birşeymiş hifi ses sistemi bana biraz tiz sesleri ön planda geldi kötü diyemem tok sesler beklerdim farlar epey etkiledi beni gayet güzel aydınlatıyor şerit değiştirme uyarısından ziyade kör nokta sinyali aktifken tarafa sinyal verdiğinizde direksiyon titreme geri bildirim sağlıyor eski aracımda biraz erken sinyal verirdim şeritten gelen araç benim şerit değiştireceğimi görsün olur olmadık yerde beni geçip yavaşlamasın dediğim olunca direksiyonu titreyiyor bak şeritten araç geliyor şerit değiştirme tabi güvenlik sistemleri çeşitli kazalardan alınan dersler sonrası geliştirildiğinden hepimizin yararına kırmızı ışıkta beklerken önümdeki yaya araca yakın geçti ön park sensörü hemen algılayıp ben dururken sinyal verdi aracımda ön sensörler park tuşuna basmadan kendiliğinden aktifleşmiyordu şimdilik gözlemlerim bunlar araç bence keyifli keşfettikçe keyifli hale geliyor herkese iyi günler diliyorum,05.08.2023
kazasız belasız sürüşler dilerimdetay fotolar bildirimler bekliyoruz,05.08.2023
teşekkürler hocam i̇mkanlar dahilinde bişeyler yazmaya devam etmeyi düşünüyorum,05.08.2023
kazasız belasız sürüşler dilerim,05.08.2023
teşekkürler hocam,05.08.2023
i̇yi akşamlar bugün aracıma stek marka ppf kaplama yaptırdım aracı teslim almadan önce ışık altında inceleme yaptım gayet temiz iş çıkarmışlar yüzden sizlere tavsiye vermek istedim dün biraz fiyat araştırması yaptıktan sonra ankara taurus avmde bulunan carwax isimli işletmeye karar verdim tahir beyle bugün yüzyüze görüşme fırsatım oldu ön kaput ön çamurluklar farlar dynoshield dört kapı dynolite isimli ürünleri tercih ettim evimin bulunduğu sokakta zemin hafif meyilli olduğu yandaki arabanın kapısı açıldığında dikkat edilmezse ister istemez aracın kapısına değebiliyor yüzden kapıları koruma altına alma ihtiyacı duydum uygun koşullarda aracımı bırakabilseydim kapıları yaptırmayabilirdim ptesi günü aynı ürünü kullanan borusanda ön tamponda uygulama yapmanın pek iyi olmadığını tampon üzerinde girinti çıkıntı bulunması sebebiyle ürünün yan sınırlarından atma ihtimali olduğunu söylemişlerdi aynı şekilde carwaxta uyarıldığım ön tampona uygulama yaptırmadım düzgün işçilik ilerleyen zamanlarda düzgün bakım yıkama şartlarında böyle bir olmaz ben tercih etmedim diyelim camların arasındaki piano black çıtalar ön kapı eşiğindeki marşpiyel kısımlara küçük parçalar buralar ayakkabı sürtülmesiyle çizilebiliyor ekstradan hediye olarak yapıldı dynoshield yıl dynolite içinse yıl garanti mevcut tabi yıkama tabancasının aşırı yakın tutulması fırçalı benzinlik yıkama otomatı şeylerden dolayı garanti kapsamı dışına çıkılmaması gerekiyor i̇lk saat araç yıkanmayacak uygulama sonrasında garanti kartı veriliyor bilgileriniz stek markasının sistemine işleniyor kullanıcı hatası dışında türkiyenin diğer istediğiniz stek bayilerinde garanti kapsamı var dediler yine garantilik bir olmasını istemem herkese güvenli sürüşler diliyorum,05.08.2023
hocam bilgiler teşekkür ederim ben kaplama yaptırmıştım detailing yaptırdıktan gün sonra kontrol yıkaması gelin demişlerdi süre dolmadan bildiğiniz aracı servise verdim benim araçta ön park sensörlerin olduğu yuvarlak kısımları kesmemeyi tercih ettiler oralar biraz çıkmıştı kontrol muayenesinde düzelteceklerdi kontrol edersiniz gün sonra hayırlı olsun,05.08.2023
bugün bana mesaj attılar bir hafta on gün sonra gelin kontrol edelim ön tampona uygulatmadım ben yıkamacılar gerekli özeni göstermeyebilir bir iki gün güneşte ısınsa iyi oturur sanırım yerine,05.08.2023
an sistemde dizel araçlar şubat teslim benzinli araçlar mayıs teslim gözüküyormakyajlı versiyon şöyle bir haber var,05.08.2023
hocam benim bahsettiğim tarihler bmwbul sitesinden oluşturduğunuz araç rez yapın diyince sağ üstte gözüken tarihler makyajlanmış modelin zaman piyasaya sürüleceği ilgili soruyorsanız onun cevabı henüz yok,05.08.2023
yabancı kaynaklarda ben farklı yerlerde farklı şeyler görmüştüm yılı ikinci yarısından sonra lci yılında kasalardan bahsediliyordu sanırım bimmerpostta okumuştum net değil ikisi,05.08.2023
herkese merhaba arkadaşlar garanti uzatmak isteyen arkadaşlara haber vereyim an indirim mevcut yüzde i̇lgilenenler servisi arayabilir,29.07.2023
günlerde sevkiyat teslimat yok galibaay sonundaaylık satılan araç sayıları yayınlanınca göreceğiz bakalım,29.07.2023
hocam geminin gelmesini bekliyorum tabi umarım bir aksilik olmaz,29.07.2023
hocam arabayı kullanmıyoruz ayda bakıma gidecek olduğu sormadım antalyada yaşadığım kışlık jant lastik konusunda bilgisizim,29.07.2023
güzel günlerde kullanın hocam cevabınız teşekkür ederim,29.07.2023
arkadaşlar merhabalar geçen hafta aralık çıkışlı sportline aldım araçta apple carplay yok galiba aradım aradım bir türlü bulamadım gizli özellikleri açarsam apple carplay aktif olur başka önerebilir misiniz i̇stanbulda yaşıyorum uygulama benim hayati şimdiden teşekkürler,29.07.2023
hocam bakım döngüleri standart km olarak belirlense sizin sürüş tarzınız doğal koşullara göre tozlu hava vb değişebiliyor bahsettiğiniz ay yerine ay kısa bir süre dediğiniz balata vs kontrolü olabilir,29.07.2023
telefondan wifi açtınız,29.07.2023
arkadaşlar herkese merhabalar henüz aracımı teslim alamadım fırsat bulmuşken yeni araç sürecine girecekler araç bekleyenler adına kısaca bilgi vermek temmuz günü borusan balgatta araç siparişimi satış temsilcim st beraber bmwnibul sitesi üzerinden oluşturduk sipariş oluşturduktan sonra ön ödeme bedeli olan havale edip dekontunu satış temsilcime gönderdim andan itibaren siparişim ön siparişlerim bölümünde görünmeye başladı burada söylemek istediğim tek uzun sürece çıkacak arkadaşlara tavsiyem sipariş verecekseniz bir gün bile beklemeyin kadar erken sipariş verirseniz kadar erken gelecektir aracınız ben kadar bekleyemem diyen arkadaşlardan tek ricam sıfır araç alıp binmeden piyasayı kızıştıran fahiş fiyatlardan satış yapan kişilere itimat etmemelerisipariş verirken aracın tahmini teslim tarihi ön siparişlerim sayfasında görünüyor benim burada yazıyordu stm tarihten önce gelebileceğini tecrübelerine dayanarak kasım ayında aracın gelebileceğini iyi bir ihtimalle ekim sonunda gelebileceğini söyledi tabi sitede yazan tarihin herhangi bir bağlayıcılığı olmamakla birlikte bir arkadaşın tecrübelerine istinaden sürenin sarkma ihtimali bulunuyor kasım ayından beri sevkiyat konularında almanya borusan ciddi sıkıntılarla karşılaştılarbu andan itibaren kendi adıma konuşmam gerekirse yerli yabancı forumlarda araç ilgili yazılanları takip etmeye başladım ayrıca youtube üzerinden test videolarını izledim araştırdıkça meraklandım beklemek geçen gün zor gelmeye başladıbu arada st sayesinde kullandığım aracı erken satmamış oldum ön siparişten sonra aracımı satmak ilana koymuştum st beni uyardı araç üretime girmeden trye sevk edilmeden eski aracımı satmış olsaydım yaklaşık ay araçsız kalacaktım hatta yeni aracı almaktan vazgeçseydim sattığım araç kadar temiz bir aracı bulamayacaktımen haftada bir stmi aradım mesaj attım ancak bir iki serisi özelinde konuşmam gerekirse çip krizi ukraynadan kablo tesisatı temininde yaşanan güçlükler vs sebeplere ilave olarak bir iki serisinin talebe oranla sayıda üretilmesi sebebiyle süreç gün geçtikçe uzayıp gitti arada iptal araçlar isterseniz size teklif edilebiliyor diyelim bir başkası vermiş olduğu siparişten vazgeçti zaman satış temsilciniz size aracı almak isteyip istemediğinizi soruyormuş muş diyorum bana iptalden araç teklif edilmedi sadece bir buçuk hafta önce son zammı duyduğumda stm tartıştığımda farklı renk bir araç önerdi ben kendi aracım zaten üretilmişken küsür gündür sevkiyat beklerken başka renkte bir aracı almak istemedim burada belirtmekte fayda var iptalden araçlar öncelikle il içinde bekleyenlere teklif ediliyor ankaradaysanız size i̇stanbuldan araç teklif etmezler etmeleri aracı i̇stanbulda kimsenin istememesi lazım kasım ctesi günü stmi aradığımda araç eşleşmesi olduğunu mesaide olmaması sebebiyle salı günü araç bilgi formunu göndereceğini söyledi kasım pazar günü araç mybmw sitesi mobil uygulamada üretimde olarak görülmeye başladı aracın kasım ayı sonunda almanyadan türkiyeye sevk edilmesi gerektiğini düşünerek eski aracımı sattım arada kasım ayı başında iki zam geldi araca euro kurunun dolar karşısında tekrar yükselmesi sebebiyle sanırımancak araç beklediğimiz kasım sonundaki sevkiyatla gelemedi arada aracın şasi numarasını bimmerwork mdecodercom sitelerden sorguladığımda aracın üretim tarihinin kasım olduğunu gördüm bir aracın fabrikada üretiminin tamamlanmış olması türkiyeye sevk edilme garantisi vermiyor bir süre sonra araştırdığımda bmwnin ana dağıtım limanı olan bremerhavende sıkıntılar olduğunu yazmışlar yabancı sitelerde nitekim benim aracım sevkiyatı kaçırdığı aralık ayında gelen iki adet zamma maruz kaldık aralık ayının ortası yola çıkması beklenen gemi türkiyeye geldi an gümrük işlemleri tamamlanmış aracın ankaraya sevk edilmesini gidip teslim almayı bekliyorum kaba bir hesapla ay sürmüş oldu benim siparişimi alabilmek yeni üç serisi alan arkadaşlar uzun süreler bekleyen oldu bir buçuk ay sonra aracına kavuşan oldu kimsenin günahını almak istemem sürecin şeffaf olmadığı konusunda buradaki bütün arkadaşların hemfikir olduğunu düşünüyorumaklınıza takılan türlü konuyu sayfamızda bana benden önce aracına kavuşan arkadaşlara sorabilirsiniz forumun amacı zaten birbirimize yardımcı olabilmek tecrübeli arkadaşlarıma ayrıca teşekkür etmek istiyorum burada onlar sayesinde birçok bilgi edindim onlar moralim bozulduğunda bana destek oldular onlar araçlarına kavuştuğunda ben aracıma kavuşmuşum sevindim güzel arkadaşlıklar edindim herkese selamlar,29.07.2023
uzun sürecin sonuna geldiğinizi görmek sevindirici kadar ay sabırla beklediğiniz azmini takdir ediyorum mutlu günlerde kullanmanızı dilerim değerlendirmenizide bekleyeceğim sağlıcakla,29.07.2023
i̇yi dilekleriniz teşekkür ediyorum hocam değerlendirme kasaya göre kıyaslama yaparız inşallah ilerleyen günlerde,29.07.2023
doğum yaklaşmış valiz kapının yanında hazır bekliyorsunuz sabrın sonu selamet ben yaşadığım şehir dışında bir bayi aracılığıyla sipariş verdim orada olmadığımdan site yada uygulamadan kendim giriş yapmadığımdan bana gelen bir mail kaporayı gönderdim siparişten beri gün oldu arada bana araç haber verdi satış temsilcisi birine donanım eksikliğinden diğerine renkten müşteri olmadım liste fiyatı sipariş gününe göre tl yükselmiş durumda bakalım alım gücümüzü aşmadan gelebilecek mi,29.07.2023
hocam maalesef kasımdan beri fiyatlar sürekli tırmanışta gün bir arkadaşımıza göre kısa bir süre teklifleri değerlendirmenizi nacizane tavsiye ederim sanırım gece ankaraya sevk edilecek araç ancak plaka işlemi hsonu yapılamadığı tescil işlemleri ptesi sabaha kaldı i̇nşallah bir aksilik çıkmazsa ptesi öğleden sonra teslim alırım tam ön siparişten yana güne denk geliyor şansıma,29.07.2023
ufak bir edit sabah st görüştüm araç ankaraya gelmiş sıradaki plakayı söyledi onay aldıktan sonra yarın öğlen teslimatı yapacaklarını söyledi,29.07.2023
bmw motorradın bugüne kadar ürettiği güçlü boxer motora sahip modeli yeni bmw r gs efsanevi bmw sürüş keyfini artıran yeni elektronik ayarlı süspansiyonları gelişmiş sürüş asistanları fren yapma özelliğine sahip yeni hız sabitleme sistemiyle segmentindeki standartları yeniden belirliyoryeni güçlü boxer motoryeni bmw r gsin merkezinde yer alan iki silindirli boxer motor yeni eksantrik mili tahrik düzeniyle zamankinden kompakt bir tasarıma sahip cc hacmindeki ünite beygir güç nm tork değerleriyle şimdiye kadar üretilen güçlü bmw boxer motoru unvanını taşıyor geniş güç bandına yayılan yüksek tork çıktı değerleri sayesinde yeni bmw r gs devirde viteste performansıyla dikkat çekiyorkırk yılı aşkın bir süre önce r gs yeni touring enduro segmentini oluşturan bmw motorrad boxer motorlu gs zamandan beri sürdürdüğü segmentinin tartışmasız liderliğini bir adım ileriye götürmeye hazırlanıyor yeni bmw r gs gelişen tasarımı gövdede kullanılan materyallerin çeşitlenmesi sayesinde etkileyici biçimde kg hafif olarak bmw tutkunlarının karşısına çıkıyor tamamen yenilenmiş olsa geleneksel tasarım çizgisini bünyesinde barındırmaya devam ediyorönceki nesillere göre düz bir rampaya sahip alüminyumdan üretilmiş yeni yakıt tankı gövdenin hafif olmasını sağlarken r gsin dinamik sportif yönünü vurguluyor başta option tramuntana versiyonu sunulan aurelius metalik yeşil renk olmak üzere gövde renkleri keskin hatlarıyla yeni bmw r gs boxer gs temasını tamamen temsil ediyoryeni süspansiyonun merkezinde önemli ölçüde optimize edilmiş önceki modele göre yüksek düzeyde sertlik sunan çelikten yapılmış metal levha ana çerçeve yer alıyor arka çerçevedeyse çelik boru yapının yerini pres döküm alüminyum yapı alıyor gsin ayrıştırıcı özelliklerinden yeni evo telelever revize edilmiş evo paralever fazla gidon hassasiyeti sürüş stabilitesi sağlıyoryeni elektronik dinamik ayarlı süspansiyon dsabmw motorrad önceki nesil dynamic esa elektronik destekli süspansiyon sistemini yeni bmw r gste yeniledi yeni sistem sayesinde üst düzey sürüş güvenliği eğlenceli kullanım imkanı bir arada sunuluyoryeni dinamik ayarlı elektronik süspansiyon dsa artık bir adım ileri gidiyor ön arka süspansiyonların ayarını seçilen sürüş moduna sürüş koşuluna sürüş durumuna bağlı olarak yay sertliği ayarıyla birleştiriyor yayların otomatik olarak ayarlanması motosikletin üzerindeki yükün dengeli olmasını sağlıyor teknoloji sayesinde yeni bmw r gs yol koşullarında heyecan verici üst düzey sürüş deneyimini sürücüsüne yaşatıyoryeni bmw r gs adaptif araç yükseklik kontrolü spor süspansiyon olmak üzere iki yeni ek opsiyonel donanımı beraberinde getiriyor yeni bmw r gs çalışma koşullarına bağlı olarak araç yüksekliğinin tam otomatik ayarlanmasını sağıyor böylece sürüş dinamikleri yana yatma özgürlüğünden ödün vermeden mümkün olan yüksek konforunu kullanım şartlarında sürücüye hissettiriyoryeni bmw r gs yeni nesil üstün teknolojiye sahip süspansiyon sistemi sayesinde ön arkada mm fazla yay hareketini beraberinde getiriyor özelliği sayesinde yeni bmw r gs spor süspansiyon arazi kullanımı ihtiyaçlarını karşılıyorsürüş deneyimini artıran özelliklere ek olarak yeni bmw r gs standart donanımında rain road eco enduro sürüş modlarını motosiklet tutkunlarına sunuyoryeni tasarıma sahip matrix led teknolojili farlaryeni bmw r gsin fütüristik çizgilere sahip yeni tasarımlı farı matrix led teknolojisini sürüş güvenliğini destekleyen özelliklere sahipayrıca bkzotomotiv devi hyundai teslanın şarj standardına geçiyortrafikte yeni r gsi görünür kılan donanım türlü ortamda sürücünün görüşünü artırıyor far kısa uzun hüzme iki ayrı led ünitesinin yanında gündüz farı park lambası dört adet led ünitesinden oluşuyoryeni tasarlanmış led sinyal lambalarına sahip üniteler yeni bmw r gsin aydınlatma konseptini tamamlıyorsürüş asistanları aktif hız sabitleme sistemiyle keyifli uzun yolculuklaryeni bmw r gs uzun yolculuklarda kullanıcısına destek olan sürüş asistanları donanımıyla öne çıkıyor aktif hız sabitleme acc ön çarpışma uyarı sistemi fcw şerit değiştirme uyarısı sww yeni bmw r gsin dikkat çeken özellikleri arasında bulunuyormesafe kontrolüyle birlikte çalışan aktif hız sabitleme sistemi sabit hızla seyir halindeyken öndeki araçla mesafenin korunmasını sağlıyor ön çarpışma uyarı sistemi acil durumlarda sürücüye destek sağlayan fren yapma özelliğiyle sürüş güvenliğini artırıyor şerit değiştirme uyarısı sağ soldaki şeritlerin kontrolünü sağlayarak dikiz aynasının kullanımını desteklerken güvenli şerit değişiminin sağlanmasına yardımcı oluyor,07.10.2023
dna sını bozmuşlar yıllık gsin şahsen beğenmedim tipi cf moto gs edition olmuş,07.10.2023
yanına alman vatandaşlığı verirlerse hemen alırım,07.10.2023
ön far tasarımı kötü olmuş serisi başarısız bir tasarım tombul duruş yatay aptalca bir far tasarımı peugeotun puzzle tarzı yaptığı arka tasarım iyi i̇ç tasarım vasat e serisi yine yok satar hoş elektrik süpürge motoruyla bunu milyona alıp kasılan olur,01.10.2023
ürün gamında elektriğin dozunu gün geçtikçe artıran bmw yeni serisini iki yeni şarj edilebilir hibrit versiyonla desteklemeye hazırlanıyor olarak adlandırılan yeni versiyonlar kasım ayı itibarıyla almanyada satışa sunulacakyeni bmw şarj edilebilir hibrit sistemi litre dört silindirli turbo motor kwsa batarya paketi bir elektrik motoru ileri otomatik şanzımandan oluşuyor toplamda beygir güç nm tork sunan model böylece kms hızlanmasını saniyede tamamlarken kms son hıza ulaşabiliyor söz konusu modelin wltpye göre saf elektrikli sürüş menzili km civarındaayrıca bkzyeni chery fengyun ilk resmi görseli paylaşıldıbmw xdrive isminden anlaşılabileceği üzere dört tekerlekten çekiş düzenine sahip litre sıralı altı silindirli motorla gelen model böylece beygir güç nm tork diğer versiyona göre yüksek bir performans sergiliyor kms hızlanmasını saniyede tamamlayan xdrive kms son hıza ulaşıyor versiyonun saf elektrikli sürüş menzili km aralığında değişiyorher iki model standart olarak kw maksimum ac şarj kapasitesiyle şarj edilebiliyor batarya paketini saat dakikada tamamen doldurmaya yetiyor evdeki standart prizden şarj etmek isterseniz süre yaklaşık saati buluyor yeni versiyonların fiyatı eurodan başlayıp xdrive birlikte euroya kadar tırmanıyor,30.09.2023
yeni serisinin tasarımına gözüm hala alisamadi arkası farklı önü farklı araba,30.09.2023
arkasını corolladan ilham almışlar resmen,30.09.2023
kasa değil mi hocam resime gitmek tıklayın,30.09.2023
tek kelime rezalet midem bulandi,30.09.2023
bmw kasayı güzel yapıyor,30.09.2023
leş araba hala bmw alan var cidden,30.09.2023
gelmiş geçmiş çirkin serisi,30.09.2023
fiat egea bmw olmaz,30.09.2023
hatta makyajlandı kasa neredeyse onun aynısı,30.09.2023
cikanla aynigunduz fari dik çubuk şeklinde sadece,30.09.2023
geçen hafta almanya canlı görme fırsatım oldu canlısı güzel geldi gözüme,30.09.2023
bataryası iyi olmuş şehir içi günlük yeterli şehir dışına çıkıpta devamlı duruş şarj etmeyi sevmeyenler yada benim istediğim yerde durmayı sevenler normal motor oluşu iyi,30.09.2023
bataryası gayet kötü maalesef kapasitesi düşük şarj süresi inanılmaz uzun olmadı,30.09.2023
tek kelime muhteşemben bir kahve yapıp geleyim bmwm yine döktürmüş resime gitmek tıklayın,30.09.2023
milyon liradan başlar dolu paket bulur,30.09.2023
anki c kasa bile serisinin içinden geçer maalesef bmw tasarım özürlüsü oldu,30.09.2023
hocam hybrid araç elektrikri değil km metre saf sürüş bulunmaz nimet km rede kuruşla işe git git gel,30.09.2023
arkadaşlar iphone x cihazımı kablosuz apple carplaye bağlıyken cihaz aşırı ısınıyor pil sağlığım sadece google maps spotify açık cihaz yanıyor resmen yazılımı ios kalmıştı ye yükselteyim mi düşündüm sefer cihaz kasar bilemedim,30.09.2023
